capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
8/17/2024,20-32-38,Sweden,15450,14805,104.36
8/17/2024,20-32-38,Total number of signatories,269745,,
8/18/2024,17-21-25,Austria,5664,13395,42.28
8/18/2024,17-21-25,Belgium,8257,14805,55.77
8/18/2024,17-21-25,Bulgaria,3348,11985,27.93
8/18/2024,17-21-25,Croatia,2993,8460,35.38
8/18/2024,17-21-25,Cyprus,395,4230,9.34
8/18/2024,17-21-25,Czechia,5802,14805,39.19
8/18/2024,17-21-25,Denmark,9192,9870,93.13
8/18/2024,17-21-25,Estonia,2162,4935,43.81
8/18/2024,17-21-25,Finland,11728,9870,118.82
8/18/2024,17-21-25,France,21724,55695,39.01
8/18/2024,17-21-25,Germany,60424,67680,89.28
8/18/2024,17-21-25,Greece,2974,14805,20.09
8/18/2024,17-21-25,Hungary,7134,14805,48.19
8/18/2024,17-21-25,Ireland,5732,9165,62.54
8/18/2024,17-21-25,Italy,10505,53580,19.61
8/18/2024,17-21-25,Latvia,1884,5640,33.4
8/18/2024,17-21-25,Lithuania,3599,7755,46.41
8/18/2024,17-21-25,Luxembourg,516,4230,12.2
8/18/2024,17-21-25,Malta,387,4230,9.15
8/18/2024,17-21-25,Netherlands,18640,20445,91.17
8/18/2024,17-21-25,Poland,41862,36660,114.19
8/18/2024,17-21-25,Portugal,5763,14805,38.93
8/18/2024,17-21-25,Romania,9405,23265,40.43
8/18/2024,17-21-25,Slovakia,3342,9870,33.86
8/18/2024,17-21-25,Slovenia,1809,5640,32.07
8/18/2024,17-21-25,Spain,18285,41595,43.96
8/18/2024,17-21-25,Sweden,15520,14805,104.83
8/18/2024,17-21-25,Total number of signatories,279046,,
8/19/2024,06-59-23,Austria,5958,13395,44.48
8/19/2024,06-59-23,Belgium,8317,14805,56.18
8/19/2024,06-59-23,Bulgaria,3364,11985,28.07
8/19/2024,06-59-23,Croatia,3006,8460,35.53
8/19/2024,06-59-23,Cyprus,400,4230,9.46
8/19/2024,06-59-23,Czechia,5858,14805,39.57
8/19/2024,06-59-23,Denmark,9229,9870,93.51
8/19/2024,06-59-23,Estonia,2171,4935,43.99
8/19/2024,06-59-23,Finland,11763,9870,119.18
8/19/2024,06-59-23,France,21974,55695,39.45
8/19/2024,06-59-23,Germany,66400,67680,98.11
8/19/2024,06-59-23,Greece,2995,14805,20.23
8/19/2024,06-59-23,Hungary,7194,14805,48.59
8/19/2024,06-59-23,Ireland,5776,9165,63.02
8/19/2024,06-59-23,Italy,10608,53580,19.8
8/19/2024,06-59-23,Latvia,1890,5640,33.51
8/19/2024,06-59-23,Lithuania,3612,7755,46.58
8/19/2024,06-59-23,Luxembourg,531,4230,12.55
