capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
2025-07-03,06:22:44,Slovakia,12024,9870.0,121.82
2025-07-03,06:22:44,Slovenia,5075,5640.0,89.98
2025-07-03,06:22:44,Spain,79813,41595.0,191.88
2025-07-03,06:22:44,Sweden,49255,14805.0,332.69
2025-07-03,06:22:44,Total number of signatories,938964,,
2025-07-03,18:00:15,Austria,17138,13395.0,127.94
2025-07-03,18:00:15,Belgium,23762,14805.0,160.5
2025-07-03,18:00:15,Bulgaria,11083,11985.0,92.47
2025-07-03,18:00:15,Croatia,11453,8460.0,135.38
2025-07-03,18:00:15,Cyprus,1718,4230.0,40.61
2025-07-03,18:00:15,Czechia,17571,14805.0,118.68
2025-07-03,18:00:15,Denmark,29043,9870.0,294.26
2025-07-03,18:00:15,Estonia,7612,4935.0,154.25
2025-07-03,18:00:15,Finland,45683,9870.0,462.85
2025-07-03,18:00:15,France,104461,55695.0,187.56
2025-07-03,18:00:15,Germany,217794,67680.0,321.8
2025-07-03,18:00:15,Greece,15708,14805.0,106.1
2025-07-03,18:00:15,Hungary,20319,14805.0,137.24
2025-07-03,18:00:15,Ireland,28623,9165.0,312.31
2025-07-03,18:00:15,Italy,59586,53580.0,111.21
2025-07-03,18:00:15,Latvia,6358,5640.0,112.73
2025-07-03,18:00:15,Lithuania,11729,7755.0,151.24
2025-07-03,18:00:15,Luxembourg,2149,4230.0,50.8
2025-07-03,18:00:15,Malta,1530,4230.0,36.17
2025-07-03,18:00:15,Netherlands,66433,20445.0,324.94
2025-07-03,18:00:15,Poland,113410,36660.0,309.36
2025-07-03,18:00:15,Portugal,24678,14805.0,166.69
2025-07-03,18:00:15,Romania,29452,23265.0,126.59
2025-07-03,18:00:15,Slovakia,13826,9870.0,140.08
2025-07-03,18:00:15,Slovenia,5548,5640.0,98.37
2025-07-03,18:00:15,Spain,88586,41595.0,212.97
2025-07-03,18:00:15,Sweden,54076,14805.0,365.25
2025-07-03,18:00:15,Total number of signatories,1029329,,
2025-07-05,13:04:23,Austria,18478,13395.0,137.95
2025-07-05,13:04:23,Belgium,26004,14805.0,175.64
2025-07-05,13:04:23,Bulgaria,12236,11985.0,102.09
2025-07-05,13:04:23,Croatia,12527,8460.0,148.07
2025-07-05,13:04:23,Cyprus,1890,4230.0,44.68
2025-07-05,13:04:23,Czechia,19706,14805.0,133.1
2025-07-05,13:04:23,Denmark,31870,9870.0,322.9
2025-07-05,13:04:23,Estonia,8252,4935.0,167.21
2025-07-05,13:04:23,Finland,50291,9870.0,509.53
2025-07-05,13:04:23,France,119887,55695.0,215.26
2025-07-05,13:04:23,Germany,242683,67680.0,358.57
2025-07-05,13:04:23,Greece,17475,14805.0,118.03
2025-07-05,13:04:23,Hungary,22512,14805.0,152.06
2025-07-05,13:04:23,Ireland,31328,9165.0,341.82
2025-07-05,13:04:23,Italy,64389,53580.0,120.17
2025-07-05,13:04:23,Latvia,6982,5640.0,123.79
2025-07-05,13:04:23,Lithuania,12743,7755.0,164.32
2025-07-05,13:04:23,Luxembourg,2380,4230.0,56.26
2025-07-05,13:04:23,Malta,1750,4230.0,41.37
2025-07-05,13:04:23,Netherlands,75543,20445.0,369.49
2025-07-05,13:04:23,Poland,125780,36660.0,343.1
